Datums,Laiks,Atkartotas reizes,Python versija
24-01-2024,17:51:36,10,3.10.11
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,10.3678
2,250000,10.7544
3,250000,11.0902
4,250000,10.2933
5,250000,10.4892
6,250000,10.392
7,250000,10.3832
8,250000,10.5523
9,250000,10.3033
10,250000,11.0289

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
105.65459999999999,10.56546
