Datums,Laiks,Atkartotas reizes,Python versija
25-01-2024,19:52:00,15,3.10.11
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,1,19.8891
2,1,19.4897
3,1,19.376
4,1,19.7267
5,1,19.3455
6,1,19.4718
7,1,19.3652
8,1,15.1718
9,1,16.2027
10,1,19.3107
11,1,19.4208
12,1,19.3602
13,1,19.4819
14,1,19.4
15,1,15.9115

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
280.92359999999996,18.72824
