Datums,Laiks,Atkartotas reizes,Python versija
27-01-2024,18:28:49,10,<module 'version' from 'd:\\Programming\\Repositories\\zpd\\main\\subscripts\\version.py'>
Ievada skirklis
test_input
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms),Izvads
