Datums,Laiks,Atkartotas reizes,Python versija
24-01-2024,17:28:39,10,3.10.11
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,10.4788
2,250000,10.6071
3,250000,10.5667
4,250000,10.5359
5,250000,10.3469
6,250000,10.5072
7,250000,10.537
8,250000,10.4478
9,250000,10.8829
10,250000,10.4292

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
105.3395,10.53395
