Datums,Laiks,Atkartotas reizes
24-01-2024,17:10:55,10
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.28
2,250000,7.2627
3,250000,7.333
4,250000,7.2041
5,250000,7.532
6,250000,7.2554
7,250000,7.2936
8,250000,7.3136
9,250000,7.242
10,250000,7.4125

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
73.1289,7.31289
