Datums,Laiks,Atkartotas reizes
21-01-2024,18:42:56,10
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.5024
2,250000,7.5598
3,250000,7.5192
4,250000,7.5117
5,250000,7.5012
6,250000,7.5657
7,250000,7.5692
8,250000,7.5157
9,250000,7.519
10,250000,7.5454

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
75.30930000000001,7.53093
