Datums,Laiks,Atkartotas reizes
24-01-2024,17:14:48,10
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.2836
2,250000,7.367
3,250000,7.3728
4,250000,7.4243
5,250000,7.4462
6,250000,7.4669
7,250000,7.2428
8,250000,7.2958
9,250000,7.2063
10,250000,7.2704

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
73.37610000000001,7.33761
