Datums,Laiks,Atkartotas reizes
21-01-2024,18:48:45,10
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.4261
2,250000,7.4723
3,250000,8.0308
4,250000,7.6973
5,250000,7.3196
6,250000,7.2958
7,250000,7.2641
8,250000,7.3776
9,250000,7.2645
10,250000,7.2525

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
74.4006,7.44006
