Datums,Laiks,Atkartotas reizes
21-01-2024,17:46:26,15
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,7.8262
2,250000,7.6561
3,250000,7.8839
4,250000,7.5019
5,250000,7.7203
6,250000,8.052
7,250000,7.7407
8,250000,8.0278
9,250000,8.5811
10,250000,7.7375
11,250000,8.2029
12,250000,7.7427
13,250000,8.285
14,250000,7.6233
15,250000,8.847

Kopejais laiks (ms),Videjais laiks (ms)
119.4284,7.96189
