Datums,Laiks,Atkartotas reizes
24-01-2024,17:18:08,10
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,10.5406
2,250000,10.4896
3,250000,10.5927
4,250000,10.5172
5,250000,10.4985
6,250000,10.3703
7,250000,10.6645
8,250000,11.0203
9,250000,10.3652
10,250000,10.3371

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
105.39600000000002,10.5396
