Datums,Laiks,Atkartotas reizes,Python versija
24-01-2024,17:59:17,15,3.10.11
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms)
1,250000,10.452
2,250000,10.4838
3,250000,10.4586
4,250000,10.4341
5,250000,10.3746
6,250000,10.5017
7,250000,10.464
8,250000,10.4684
9,250000,10.4115
10,250000,10.4636
11,250000,10.5024
12,250000,10.537
13,250000,10.547
14,250000,10.4898
15,250000,10.4886

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
157.0771,10.47181
