Datums,Laiks,Atkartotas reizes,Python versija
25-01-2024,20:38:14,10,3.10.11
Ievada šķirklis
apple
Atkartojuma nr.p.k.,Reizinatajs,Laiks (ms),Izvads
1,1,15.0874,Sylvester Boston
2,1,16.1101,Sylvester Boston
3,1,16.2604,Sylvester Boston
4,1,19.4413,Sylvester Boston
5,1,19.5316,Sylvester Boston
6,1,19.7968,Sylvester Boston
7,1,18.2516,Sylvester Boston
8,1,15.0755,Sylvester Boston
9,1,19.872,Sylvester Boston
10,1,19.6302,Sylvester Boston

Kopejais funkciju laiks (ms),Videjais funkciju laiks (ms)
179.05689999999998,17.90569
